"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Testing the Authorization in the api","Create account with password not matching the criteria","0","0","3","0","0"
"","Testing the Authorization in the api","Successfully authorize a user","0","0","1","0","0"
"","Managing user collection","Update a specific book","0","0","1","0","0"
"","Testing the book functionalities in the api","Get all books","0","0","1","0","0"
"","Testing the book functionalities in the api","Get a specific book","0","0","1","0","0"
"","Testing the Authorization in the api","Successfully authorize a user and get a token","0","0","1","0","0"
"","Testing the Authorization in the api","Verify the api returns User exists exception","0","0","1","0","0"
"","Managing user collection","Create and delete a book from the user's collection","0","0","1","0","0"
"","Testing the Authorization in the api","Create and delete a user","0","0","1","0","0"
